X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,13,0,75,1.0,0.14772727272727273,0.0,88
2,263,236,27,0.5270541082164328,0.906896551724138,0.4729458917835671,290
3,331,0,115,1.0,0.742152466367713,0.0,446
4,190,4,256,0.979381443298969,0.4260089686098655,0.020618556701030927,446
5,415,0,31,1.0,0.9304932735426009,0.0,446
6,1,10,1,0.09090909090909091,0.5,0.9090909090909091,2
7,1,192,2,0.0051813471502590676,0.3333333333333333,0.9948186528497409,3
8,70,8,3,0.8974358974358975,0.958904109589041,0.10256410256410256,73
