X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,88,18,0,0.8301886792452831,1.0,0.16981132075471697,88
2,277,302,13,0.4784110535405872,0.9551724137931035,0.5215889464594128,290
3,398,0,48,1.0,0.8923766816143498,0.0,446
4,266,26,180,0.910958904109589,0.5964125560538116,0.08904109589041095,446
5,436,3,10,0.9931662870159453,0.9775784753363229,0.00683371298405467,446
6,2,100,0,0.0196078431372549,1.0,0.9803921568627451,2
7,3,351,0,0.00847457627118644,1.0,0.9915254237288136,3
8,73,205,0,0.26258992805755393,1.0,0.737410071942446,73
