X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,87,1,1,0.9886363636363636,0.9886363636363636,0.011363636363636364,88
2,276,291,14,0.48677248677248675,0.9517241379310345,0.5132275132275133,290
3,382,0,64,1.0,0.8565022421524664,0.0,446
4,235,15,211,0.94,0.5269058295964125,0.06,446
5,425,0,21,1.0,0.952914798206278,0.0,446
6,2,68,0,0.02857142857142857,1.0,0.9714285714285714,2
7,1,295,2,0.0033783783783783786,0.3333333333333333,0.9966216216216216,3
8,73,121,0,0.37628865979381443,1.0,0.6237113402061856,73
