X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,59,0,29,1.0,0.6704545454545454,0.0,88
2,276,279,14,0.4972972972972973,0.9517241379310345,0.5027027027027027,290
3,360,0,86,1.0,0.8071748878923767,0.0,446
4,216,11,230,0.9515418502202643,0.484304932735426,0.048458149779735685,446
5,419,0,27,1.0,0.9394618834080718,0.0,446
6,1,22,1,0.043478260869565216,0.5,0.9565217391304348,2
7,1,240,2,0.004149377593360996,0.3333333333333333,0.995850622406639,3
8,72,68,1,0.5142857142857142,0.9863013698630136,0.4857142857142857,73
