X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,88,0,0,1.0,1.0,0.0,88
2,245,95,45,0.7205882352941176,0.8448275862068966,0.27941176470588236,290
3,421,1,25,0.9976303317535545,0.9439461883408071,0.002369668246445498,446
4,232,8,214,0.9666666666666667,0.5201793721973094,0.03333333333333333,446
5,395,10,51,0.9753086419753086,0.8856502242152466,0.024691358024691357,446
6,2,76,0,0.02564102564102564,1.0,0.9743589743589743,2
7,3,94,0,0.030927835051546393,1.0,0.9690721649484536,3
8,73,32,0,0.6952380952380952,1.0,0.3047619047619048,73
