X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,88,3,0,0.967032967032967,1.0,0.03296703296703297,88
2,252,207,38,0.5490196078431373,0.8689655172413793,0.45098039215686275,290
3,435,13,11,0.9709821428571429,0.9753363228699552,0.029017857142857144,446
4,259,14,187,0.9487179487179487,0.5807174887892377,0.05128205128205128,446
5,417,28,29,0.9370786516853933,0.9349775784753364,0.06292134831460675,446
6,2,98,0,0.02,1.0,0.98,2
7,3,233,0,0.012711864406779662,1.0,0.9872881355932204,3
8,73,102,0,0.41714285714285715,1.0,0.5828571428571429,73
