X,TP,FP,FN,Precision,Recall,FDR,Total_Positivos
1,88,0,0,1.0,1.0,0.0,88
2,245,145,45,0.6282051282051282,0.8448275862068966,0.3717948717948718,290
3,431,6,15,0.9862700228832952,0.9663677130044843,0.013729977116704805,446
4,250,10,196,0.9615384615384616,0.5605381165919282,0.038461538461538464,446
5,416,15,30,0.9651972157772621,0.9327354260089686,0.03480278422273782,446
6,2,82,0,0.023809523809523808,1.0,0.9761904761904762,2
7,3,149,0,0.019736842105263157,1.0,0.9802631578947368,3
8,73,88,0,0.453416149068323,1.0,0.546583850931677,73
